Gene_ID	MCF7-2_shRB1-3_DMSO_1	MCF7-2_shRB1-3_DMSO_2	MCF7-2_shRB1-3_LY500nM_1	MCF7-2_shRB1-3_LY500nM_2
VWA8	388	1174	835	594
IL36A	0	0	0	0
LAMA2	0	0	0	1
SLC22A17	63	356	256	175
RPL5	8349	16523	18016	10475
MIR6129	0	0	0	0
ARPP19	1860	3111	3941	2835
PPP1R3C	273	715	667	467
SHANK1	1	2	4	3
FAM98B	856	1141	1423	771
OR56A3	0	0	0	0
LGALS7	0	0	0	0
SIVA1	662	1687	2061	964
CHRNA1	2	0	0	0
C7orf69	0	0	0	0
SPACA6P	36	132	82	47
ARFRP1	287	1223	984	596
FANCL	282	326	350	172
GRIN2D	9	39	35	18
TRMT12	511	946	1057	547
PIGB	237	382	356	184
SNHG21	47	102	93	53
GAGE12H	0	0	0	0
RPL6	5373	11787	13925	7833
MTO1	288	619	586	368
GNL3	778	1374	1468	869
CASP2	385	777	1086	726
P2RY12	0	0	0	0
LOC613037	2	4	0	5
GAS7	0	2	1	1
MSX1	22	36	39	37
CCDC140	0	0	0	0
ZZZ3	760	1397	1226	838
ATP6V1C2	2207	169	349	212
ANKMY2	194	542	384	232
C1QTNF3-AMACR	0	0	0	1
ZP3	32	96	112	46
DOCK8	80	242	264	180
LINC00709	0	0	0	0
RCAN3	191	564	449	260
NMT1	779	2090	1744	1072
DCLK1	120	279	330	223
PRUNE2	10	20	10	15
WFDC13	0	3	2	1
XKR8	62	187	187	121
SLC16A5	3	10	14	9
NHS	70	162	137	106
TAAR8	0	0	0	0
MIR3613	0	3	1	2
TRIM10	0	1	0	0
SNORD114-1	0	0	0	0
MIR1266	0	0	0	0
LINC01300	0	0	0	0
CT45A3	0	0	0	0
ABCC11	22	95	12	16
LOC101929312	0	0	0	0
PARP10	20	80	113	51
LOC101927285	0	0	0	0
GGT8P	0	0	0	1
PRR15	146	786	360	219
KLK12	12	60	83	67
KRTAP1-3	0	0	0	0
CR1L	0	0	2	0
CLCN6	33	81	75	61
LCE3C	0	0	0	0
ARRDC3	161	579	509	322
LOC101929478	0	0	0	0
ADD3	403	650	652	339
IFNA7	0	0	0	0
RFESD	13	34	17	7
ACTG1	20873	95239	58347	32930
LOC284865	0	0	0	0
EEF1B2	6745	15236	17198	8763
GRIA2	13	20	119	57
OTUD3	81	143	260	161
MALSU1	207	293	311	164
CCDC88B	9	43	46	21
MIR598	0	0	0	0
P4HB	10407	34091	33149	20739
TENM2	0	0	0	0
BRPF3	508	1425	1082	713
LINC01001	0	3	3	2
CHMP7	347	1046	968	587
ADIPOR2	1152	2549	4102	2227
PTPN21	111	315	657	331
LCTL	109	6	11	1
BACE2	446	1116	993	549
GPR174	0	0	0	0
BHLHE41	132	544	432	235
GJA4	0	0	0	0
AJUBA	387	2627	1625	1292
FAM63B	80	107	118	81
COMMD7	339	1072	771	480
S100A5	0	0	0	0
SLC41A2	108	151	304	212
PAGE1	0	0	0	0
FBXW11	548	1072	1387	869
PHF1	154	491	371	209
PADI3	10	14	17	25
CST9	1	10	1	3
HMGA1	2096	9321	7688	4630
LOC642236	2	5	14	5
C16orf74	73	508	409	289
DENND6A	136	255	304	181
LINC00525	0	0	0	0
NEUROG3	0	0	0	0
LINC00115	0	1	0	2
FOXN1	2	12	5	1
PATL2	0	2	1	0
MAGED4	0	0	0	0
CLDN1	8	17	110	44
SEPSECS-AS1	4	12	6	2
ZNF847P	0	0	0	0
KCNQ1OT1	121	249	173	140
AVPR1A	0	0	0	0
SLC2A12	6	5	9	3
KRT6A	1	0	0	0
MDGA2	37	82	146	125
YTHDC1	860	2304	1951	1202
LINC01057	4	5	6	3
PLA1A	0	0	1	0
SPECC1L	161	589	551	353
MGST1	1506	2694	2645	1404
EMX2	0	0	0	0
LOC101927694	0	0	0	0
HSD17B7P2	5	1	10	8
PFKP	2133	6045	5703	3317
MZT2A	370	1802	1856	1044
MIR941-1	0	0	0	0
LINC00920	0	0	0	1
AMICA1	1	0	0	0
PPP1R2	1078	2246	1687	1097
MIR4254	0	0	0	0
RPL13A	2096	6891	9935	5970
GIPC3	0	0	0	0
MIR3200	0	0	0	0
MSH3	525	1040	800	538
LINC00886	16	132	94	53
MIR509-2	0	0	0	0
PAPPA2	0	3	2	3
MIR448	0	0	0	0
FAM124A	1	0	4	1
CAV2	171	229	318	180
ANGEL2	136	295	353	140
CCDC172	0	0	0	0
LOC102606465	24	53	49	30
EFHD2	430	862	1590	816
KIAA1683	0	13	23	20
UBE2DNL	0	0	0	0
GOT2	2851	8182	5762	3390
OARD1	240	695	650	335
RAB6B	9	51	54	38
ESR1	2192	5680	5238	3990
RBL2	459	1113	985	578
LINC00310	0	0	0	0
GPX7	0	0	0	0
TAOK3	267	722	590	358
OR2A7	0	0	0	0
LOC80154	0	3	2	3
PIWIL4	1	0	3	2
CHST1	9	23	17	10
SLC2A10	64	179	163	82
POU5F1B	0	4	0	0
DCDC5	0	0	0	0
CASC18	0	0	0	0
LINC00051	0	0	0	0
RPL32	12034	27261	20873	12424
OGDH	1142	3167	3450	2147
ARL14EPL	0	0	0	0
DTNA	167	461	444	242
PSMD8	1929	6389	4272	2504
LOC101928571	3	0	0	0
LRP3	420	2278	2211	1342
ZNF575	6	54	36	13
NUP62CL	46	71	65	43
MIR548F2	0	0	0	0
RPS6KC1	324	467	559	297
NBPF22P	0	0	0	0
HAL	0	0	0	0
MIR320E	0	1	1	0
ZNF223	34	74	49	34
ANKS3	30	141	93	84
STOML3	0	0	0	0
LOC101928796	0	0	0	0
TAF8	76	394	208	205
PCDHGB8P	2	6	1	0
GAP43	0	0	0	0
GJC1	0	3	0	0
FRMPD2P1	0	0	0	0
TRAF6	269	555	484	301
PHF13	365	773	986	549
KTI12	0	0	0	0
MED1	583	1007	1206	876
TCF12	262	508	383	248
MIR130A	0	0	0	0
NAT1	118	147	222	135
LINC00278	0	0	0	0
ARHGAP6	0	0	0	0
ALKBH4	104	332	273	174
TOB2P1	6	132	40	40
LOC102577424	0	0	0	0
C11orf85	0	0	0	0
HLA-DOA	0	1	0	0
SLMO2	852	1218	1562	904
ERCC-00092	0	0	0	0
GALR2	2	6	12	2
HACL1	166	373	239	146
SEC61B	767	2188	2875	1551
THTPA	179	638	589	328
F2R	17	25	48	27
PDZD8	372	775	754	541
MIRLET7F2	0	0	0	0
VPS13B	658	1724	1450	1292
COL21A1	9	28	52	44
UQCC2	453	995	900	453
SREBF1	936	4906	3422	2969
CDH22	0	1	0	0
C4BPA	0	1	0	0
LOC641515	1	2	2	1
OSGEPL1	89	125	131	63
TMEM165	437	667	1073	511
SEC14L2	136	629	577	439
LOC100506406	0	0	0	0
DIO1	0	1	3	0
MMP11	10	53	41	25
CDH23	0	1	1	0
RRS1-AS1	0	1	0	1
TATDN3	73	179	137	74
SCARB2	2048	5251	3989	2714
SLC27A2	515	1613	1646	936
RBBP4	1640	3706	4492	3046
ZNF35	82	154	146	82
C19orf26	17	22	47	38
ALPPL2	0	0	0	0
LOC100130587	0	0	0	0
ELF3	174	849	458	244
C11orf86	0	0	0	0
RAB11FIP4	442	1652	1641	1185
SGIP1	1	0	0	0
WNT7A	0	0	0	0
MIR1275	0	0	0	0
LBR	835	920	1386	691
AFG3L1P	53	175	250	175
UGT1A5	0	0	0	0
LSM11	34	116	56	46
PRRG3	0	0	0	0
GAS2L1P2	0	0	0	0
TRIM29	2	14	19	20
SEMA3B-AS1	1	4	2	0
NMRAL1	795	2548	2535	1386
MIR622	4	7	11	8
SLA2	8	10	1	5
RDH12	1	55	1	11
SNORD69	0	1	0	1
SLC47A1	40	113	123	74
MIR6862-1	0	0	0	0
OGFOD2	100	577	380	248
LOC339593	0	0	0	0
ERICH6B	0	0	0	0
CPT1C	1	5	0	2
SNORD115-11	0	0	0	0
PRSS54	17	0	0	4
EFEMP2	0	2	1	0
EID3	0	0	7	7
GPR173	42	287	120	104
MEG9	0	0	0	0
ZC3H12A	30	51	104	95
LINC00491	0	0	0	0
LINC00351	0	0	0	0
PI4KA	1193	4334	3371	2404
UCK1	270	937	950	577
RABL6	2195	7452	7939	4384
DPEP3	0	0	0	0
TCTEX1D2	125	157	304	146
NOS1AP	162	832	579	472
MIR6834	0	0	0	0
CSTB	817	1686	2428	1174
SFTPB	0	0	0	0
H1FX	2945	12013	7604	3806
MIR3654	0	0	0	0
CDKAL1	150	361	235	168
LOC643201	1	3	3	2
CCDC67	0	0	0	0
GSK3B	622	1647	1504	1197
KARS	3884	9027	7865	4021
CMPK1	1357	1823	2270	1370
MIR1277	0	0	0	0
MIR6798	0	0	0	0
LRRC58	1720	2028	2757	1704
ZNF471	0	0	0	0
EPB41	391	827	769	524
MPZL2	157	310	252	172
UTS2B	0	0	0	0
SETD7	1934	4372	4874	3101
ZFP3	87	193	302	128
MYO6	1113	2136	2148	1466
LOC100996291	0	0	0	0
TNFSF10	27	78	39	24
LOC101060542	0	0	0	0
NEFL	0	0	0	0
PSD2	2	4	4	1
MIR4793	0	0	0	0
ASB1	175	514	484	333
MIR4727	0	0	0	0
CDCA7	283	471	325	205
RNF220	420	1315	1168	729
ANKRD44	36	96	73	63
L1CAM	78	248	537	279
ACO1	495	1149	1304	836
PPP1R17	0	0	0	0
TMTC2	117	148	258	141
CCNK	896	2412	2068	1173
LINC01192	0	0	0	0
LSMEM2	49	0	3	0
CUZD1	0	0	0	0
MIR5700	0	0	0	0
PRMT7	403	1084	1039	509
MIR635	2	13	4	6
PLEK	0	0	0	0
SEL1L3	458	1264	1169	704
NLRP10	0	0	0	0
LINC00589	1	1	1	0
CKAP5	3390	5985	6056	3606
HSPA9	5404	11077	11703	6417
CYP4Z2P	0	3	1	0
MTHFSD	106	333	355	215
SLC30A6	463	592	821	510
GPR6	0	0	0	0
SLC6A1-AS1	0	0	0	0
LINC00970	0	0	0	0
LOC100128682	0	0	0	0
HBZ	0	0	2	2
LOC100132529	2	3	7	1
MAP4K2	109	557	280	181
LOC100128239	2	12	7	3
SIGIRR	255	1185	886	546
ARRB1	330	1059	886	561
PKD1L2	11	40	18	12
TBL3	618	2116	1687	962
C9orf85	32	62	74	48
DMRTC1B	0	0	0	0
SNORD115-18	0	0	0	0
CSNK2A1	627	1473	1150	667
DRAM2	328	522	523	297
GOLGA8T	0	0	0	0
STARD7	1270	2519	4160	2672
MS4A5	0	0	0	0
CEND1	0	0	0	0
MIR6875	0	0	0	0
BMP2K	119	175	196	144
FAM65B	9	25	12	1
EXD1	1	0	3	0
SLC30A8	7	6	11	14
DDX18	1750	2455	2861	1557
SPDYE3	22	0	1	0
ALK	0	2	0	0
RAD54L	322	841	636	408
GUCA2B	0	0	0	0
ORC1	363	888	605	369
MAP2K2	1403	5214	4587	2575
TRIM6	8	24	16	10
ZFPL1	226	1195	783	482
CLYBL	29	98	66	36
C10orf88	117	203	215	96
SRF	504	1316	1669	926
SPATA3	0	0	0	0
MIR4744	0	0	0	0
KIAA1191	783	1892	1639	938
SAA3P	0	0	0	0
ARL10	0	0	0	0
FBLN5	1	0	3	0
LINC00239	0	0	0	0
MIR4737	19	44	33	33
SH3GLB2	668	3931	2765	1706
LINC00605	0	0	0	0
RPS6KA1	550	1159	1615	913
COL3A1	24	78	171	96
C4orf29	97	169	171	102
ACSM5	0	0	0	0
TLX1NB	2	19	3	5
ZNF700	143	206	244	143
ZMIZ2	725	2647	3465	1948
LINC01020	0	0	0	0
HIST1H4E	6	22	12	9
SLC7A8	167	786	519	376
SIRT7	148	529	494	285
NELL1	1	2	1	0
CLDN20	0	0	0	0
C17orf82	34	253	173	89
MIR503	0	0	0	0
SAP130	844	2066	1871	1201
PPCDC	68	467	276	172
PROM1	1	9	14	4
ITGB2-AS1	10	40	36	16
MIR1913	0	0	0	0
IFNA6	0	0	0	0
LOC101929140	2	7	4	11
POP5	210	408	500	258
ITGA3	245	1274	941	657
FAM129A	2049	8498	4470	2996
LINC00910	29	119	61	32
TOX4	698	1906	1391	779
HNRNPCL1	0	0	0	0
LINC00838	0	0	0	0
FANCB	112	89	143	63
ATOH8	1	9	13	4
MMP23A	0	0	0	0
CA2	16	46	21	13
ZNF234	127	207	165	101
EGFL6	0	2	1	0
LOC100128494	2196	117	60	46
IDH1	1327	2169	2482	1521
CRH	0	0	0	0
NUDT11	0	2	0	0
RPL36	2273	8482	9399	5212
LOC102724034	0	0	0	0
MIR8055	0	0	0	0
OR2V1	0	0	0	0
ZNF705G	0	0	0	0
TLCD2	38	157	150	143
INO80E	393	1198	1381	662
SNORA26	1	0	1	3
LOC648691	0	0	0	0
SLC25A27	1	5	1	6
LINC00850	0	0	0	0
DAB1-AS1	0	0	0	0
FAM25BP	0	0	0	0
ERCC-00117	0	0	0	0
MIR761	0	0	0	0
SELT	554	921	983	578
MSMP	46	4	5	1
CALU	955	1635	1883	1157
TBC1D3	0	0	0	0
LOC729683	0	3	2	0
IL1A	4	0	0	0
NOD2	9	65	26	24
TMSB10	5545	16626	26813	15103
TMEM109	825	2493	3107	1713
LOC653513	1	0	0	0
MRPS9	767	2058	1775	970
PCID2	247	667	488	298
CFP	2	1	3	2
VPS25	363	931	837	444
SNORA45A	4	2	2	3
AKAP10	166	358	329	214
C15orf56	0	0	0	0
LRIG3	81	240	155	80
MIR4486	0	0	0	0
TSR2	681	1776	2072	1109
TAAR2	0	0	0	0
NFE2L3	86	108	133	77
MIR6815	0	0	0	0
MIR3938	0	0	0	0
NELFCD	3362	7851	7779	4434
PLA2G12B	0	0	0	0
MIR1972-1	0	0	0	0
IRX6	0	0	0	0
GPX5	0	0	0	0
CHST7	42	204	162	131
TM4SF1-AS1	0	0	1	1
DNAH9	0	0	0	1
KCNMA1	658	2151	1796	1208
SP110	103	285	210	122
MIR377	0	0	0	0
CATSPER2	3	21	7	5
MIR4773-2	0	0	0	0
MIR122	0	0	0	0
SNORD116-17	0	0	0	0
CTD-3080P12.3	0	0	0	0
MTNR1A	0	1	0	0
SYT4	0	0	0	0
PFKFB4	126	171	232	153
ASAH2B	2	10	1	5
ZNF319	50	202	149	106
DKKL1	1	5	5	4
MGC34796	0	0	0	1
HTR3A	0	1	1	1
LGR4	436	764	1076	703
TSR1	1620	2712	2935	1701
FLRT2	3	2	1	0
FAM168B	1466	3815	5014	3445
MKRN3	6	8	22	9
SCMH1	183	723	513	313
FDFT1	2512	6245	4055	2285
LRCH4	116	507	440	272
ULBP1	91	1187	124	184
DYNLL2	2956	5781	7572	4120
DDOST	3431	10246	9552	5555
SNX13	293	818	564	367
RAB27A	291	563	551	301
OR10G9	0	0	0	0
DLEC1	0	2	3	1
RPIA	241	527	685	377
LOC101928290	18	1	6	4
SCARA5	4	3	9	12
SMA4	6	21	16	15
CORO1A	61	128	293	137
SCARNA11	0	1	0	1
NFU1	36	132	130	36
LGI4	1	0	0	0
LCE2C	0	0	0	0
JARID2	716	2125	1853	1444
KDELC2	233	512	559	354
LMAN1L	0	0	0	1
SLX1B-SULT1A4	0	0	0	0
YIPF3	579	2628	1579	999
KTN1	3981	6465	7156	4086
DNASE1L2	2	7	8	6
CYB561	2779	8761	9860	6422
WIBG	227	669	615	391
RNF10	1394	3703	3695	2085
RFXANK	326	1128	785	484
ROR2	315	1142	1175	740
SERP1	2175	4287	4146	2304
ARHGEF38	23	77	56	40
ALDH1A1	0	0	0	0
MASP2	3	0	0	0
BIRC8	0	0	0	0
PTGS2	1	1	0	0
TRMT61A	186	668	818	447
ARHGEF26-AS1	13	9	10	6
CES1P1	0	0	0	0
U2SURP	978	1312	1323	841
DENND5B-AS1	3	0	0	0
CATIP	3	5	5	1
LOC101927492	143	7	13	9
KCNN1	2	8	2	4
EPOR	66	185	126	84
SS18L1	229	505	548	366
PPAPDC1B	172	413	407	182
KCNJ13	2	2	9	5
MAP6D1	40	63	145	67
GLIS3-AS1	0	0	0	0
MIR519A1	0	0	0	0
GHRHR	0	0	0	0
DEDD	446	1668	1124	713
C3orf70	43	98	156	97
MIR6781	0	0	0	1
MARK1	107	301	220	97
MIR4270	0	0	0	0
ADRB1	6	43	43	60
IL3RA	0	0	0	0
PIGT	1136	4574	3129	1939
C14orf180	0	0	0	1
MT1E	0	0	0	0
HCRT	0	0	0	0
CEBPZ	1323	2472	2198	1135
ELMO3	0	18	9	18
NCAPG	1259	2492	1576	755
ZNF845	221	270	310	152
MIR4491	0	0	0	0
MIR10B	0	0	0	0
TUBBP5	11	78	23	22
FAM183CP	0	0	0	0
MIF	3159	13967	9308	5747
IL10RB-AS1	0	1	0	0
ARHGDIA	4039	11005	15547	7597
SCRIB	1645	4629	6349	3843
LINC00635	0	0	0	0
GPRC5D	1	0	6	0
MICU2	654	1051	1008	593
GLE1	1012	2372	2267	1394
HNRNPUL2-BSCL2	0	0	0	0
PP12613	0	0	0	0
ATP2C2	619	4108	1353	951
MYOD1	0	0	0	0
EPB41L4A	79	180	140	137
SPINK5	0	5	32	23
MIR1915	0	2	0	0
POF1B	117	196	249	127
PER1	68	606	283	210
LOC101929148	0	0	0	0
SNORD53	0	0	0	0
COL6A1	130	499	342	203
ENDOU	1	0	0	0
S100A1	10	45	35	10
GPR148	0	1	3	1
OR6Q1	0	0	0	0
TMPRSS11F	0	2	0	1
TMEM180	40	125	98	56
MICAL1	32	122	80	49
CPLX3	1	5	9	1
PHLDB2	118	197	351	186
RNMTL1	200	483	475	302
SH3BP2	176	1572	673	568
MAP9	310	605	646	372
CPAMD8	29	178	81	83
SND1-IT1	4	0	0	0
MIS18A	262	483	538	252
COX11	1034	1339	1187	665
NGFRAP1	1098	2354	3073	1518
ZNF653	42	147	170	84
RNF148	0	3	4	1
TIPIN	245	326	312	178
UGT2B28	0	1	0	0
SPIDR	515	1480	1268	803
ACMSD	3	14	1	1
DYDC2	0	0	0	0
SNORD115-23	0	0	0	0
POTEB	0	0	0	0
RALGDS	245	755	722	537
SCGB1B2P	0	3	5	1
NAT8B	1	3	1	4
LINC00649	14	36	35	20
PTOV1	930	3572	2345	1399
C6orf195	0	2	0	0
YWHAE	4413	9789	10451	6747
SMYD4	150	453	340	216
MIR1233-2	0	0	0	0
MYEOV	1	1	4	3
PTGR1	454	1311	1352	770
KCTD14	0	0	0	0
SNORA2B	0	2	3	1
SKIV2L	424	1163	1027	643
C6orf222	0	0	0	0
GNB4	1006	1628	1580	1000
CTBP1-AS2	181	417	374	194
SNAPC1	77	129	131	71
NUAK2	82	308	414	259
TTR	1	0	2	1
HSPB11	309	316	503	214
GPATCH2	366	667	683	376
LOC101928580	0	0	0	0
DCAF7	4949	13208	13086	7970
SLC35C2	295	1095	657	428
LOC101927740	0	0	0	0
STK10	255	637	789	439
TMEM75	0	0	0	0
S100A11	2876	7479	7544	3939
LINC00244	0	0	0	0
MIR2110	0	0	0	0
FMO6P	0	0	0	0
ZNF45	158	383	327	223
ACOT8	102	403	222	147
DGKH	80	171	175	134
B4GALNT2	20	56	45	24
AARD	526	2018	2114	1418
MIR6760	0	0	0	0
EMR1	1	0	4	2
RGSL1	0	0	0	1
RGMA	34	95	146	94
MIR508	0	0	0	0
MAP7D1	485	1343	1779	989
CLDN25	0	1	0	1
KIF5C	159	295	659	390
MIR181A2	0	0	0	0
SPDEF	1828	13301	5459	3742
DIP2C	292	933	712	515
LINC01118	0	0	0	0
MIR4632	0	0	0	0
LOC286370	0	0	0	0
ITPKB-IT1	0	0	0	0
C1orf43	3444	10365	9697	5184
IRS4	0	8	2	3
LOC650226	0	0	0	0
PRKCSH	4005	14951	13716	7942
COL11A1	0	1	0	0
ELOVL2	2232	3794	4351	2736
OXGR1	1	3	4	2
ARL11	0	5	0	0
REM1	0	2	0	0
IRF2BP1	473	2226	1805	1000
OR10G4	0	0	0	0
AURKB	592	1772	1430	664
RPS4Y1	0	0	0	0
RAP1GDS1	532	1111	1086	576
SNORD32A	1	3	4	3
ZFYVE20	663	1364	1400	941
RASSF9	0	0	1	0
MIR1180	0	0	2	0
SLC25A36	598	1194	789	555
GDF7	1	0	0	0
TMEM33	555	897	1042	691
BTG4	0	0	0	0
FAM229A	8	49	27	23
SLC38A6	121	134	240	73
XPR1	910	1262	2020	1089
ZNF761	238	330	372	309
GOLGA6L7P	0	0	0	0
ZNF286B	20	17	35	23
OR4D9	6	26	19	7
MARS	1237	9258	2653	1959
LOC100505812	9	12	22	10
LOC101927642	0	0	0	0
RPL8	29852	109249	101312	56463
PABPC5-AS1	0	0	0	0
TYMP	1	20	15	16
DIO3OS	0	0	0	1
TMPRSS6	24	110	137	92
RNF11	1086	1692	2401	1463
SLPI	2	1	0	0
SPATA8-AS1	0	0	0	0
ANXA8	0	0	0	0
ZBTB8OS	228	431	496	247
LOC100507534	0	0	0	0
EXOC1	259	589	439	251
MIR6814	0	0	0	0
EGFR	65	84	107	98
PLCXD3	2	2	7	1
NSG1	0	0	0	0
C9orf114	554	958	1141	612
LOC100505878	0	0	0	0
KLHL8	495	952	907	521
TESK1	209	796	750	372
MIR3942	0	1	0	1
PARS2	71	230	201	119
ACOT1	19	75	61	30
MC2R	0	0	0	0
B3GNT1	262	597	835	406
ARPC1A	927	2156	2415	1334
SSB	2799	4303	5724	2938
HOXC-AS1	15	80	16	14
EMR3	0	0	0	0
RNF26	1085	3400	2558	1418
IL17RB	76	118	123	73
DNAI1	0	7	1	0
MIR103A1	0	0	0	0
LOC101929225	1	0	0	0
CDK20	24	121	82	71
ISOC2	516	1865	1806	1046
LINC00891	0	0	0	0
TSPAN17	554	1676	1653	969
TFEC	0	0	0	0
C1orf109	122	183	306	178
LOC101928674	18	52	81	32
NICN1	39	173	101	67
RGMB-AS1	3	23	20	12
DCAF17	167	272	324	170
SLC52A1	19	77	52	19
MIR4318	0	0	0	0
METTL24	1	1	0	0
LOC100131138	1	0	0	0
LATS2	187	496	584	325
PRSS35	1	6	6	4
SLCO1B3	0	0	0	0
SSBP1	1686	2111	2688	1182
PCDHB19P	4	10	4	10
TTC27	517	979	1006	520
GPC5-AS1	0	0	0	0
RNASE12	0	0	0	0
MBOAT2	736	1520	1348	778
PSMD13	1021	2409	2054	1102
CYP2A6	0	0	0	0
RCN2	433	659	861	454
LINC00581	0	0	0	0
SULT1C3	0	0	0	0
SRP9	1727	2698	2876	1590
MIR548M	0	0	0	0
TMEM92	7	18	1	1
PDCL3	510	831	1006	522
MIR1911	0	0	0	0
CDH16	0	1	0	1
LOC730101	133	399	183	105
HIAT1	333	606	675	384
RAPGEF2	197	280	381	247
LOC100505658	0	0	0	0
OR2G6	0	0	0	0
DLL1	40	152	121	81
TPP2	310	781	579	407
SLC27A6	49	77	63	36
LOC730668	0	3	0	1
CCKAR	0	0	0	0
ARL13B	124	147	241	100
SNORA40	4	5	5	3
CSDC2	0	1	4	4
DIS3L2	82	273	171	132
TYW3	452	728	761	407
ZDBF2	34	52	67	48
BRE-AS1	20	3	2	1
WNK2	92	245	410	212
LOC284632	0	0	0	0
ETFB	1246	3791	4103	2127
CES1P2	0	0	0	0
OR10V2P	0	0	0	0
GCFC2	219	315	327	174
TSTD1	574	2570	2066	1319
RAB40AL	0	0	0	0
NADK2	495	1113	879	575
EPM2AIP1	426	915	886	567
CCL2	0	0	0	0
MIR4765	0	0	0	0
ZNF100	274	210	292	175
NDUFA7	118	540	379	209
MIR320C2	0	0	0	0
LOC100505912	0	0	0	0
SOX15	5	2	2	1
TTC28-AS1	35	92	42	34
CCDC129	1	8	0	3
NWD1	0	3	3	0
PTCD1	0	2	0	0
MSMB	20	42	55	27
GLIPR1	348	30	50	36
NBPF15	81	283	286	227
CLIP4	16	32	62	26
ATG4A	68	91	103	56
RFK	378	433	596	263
URI1	1328	2452	2894	1504
MIR200B	0	0	0	0
LINC00176	51	284	175	103
PTH2R	0	0	0	0
TAF10	256	1161	961	519
OR1D2	0	0	0	0
CHDH	85	260	236	162
GPT	5	2	3	4
MLH3	164	317	316	158
ADRBK2	226	510	394	264
MIR4776-1	0	0	0	0
MIR6777	0	0	0	0
ATP9B	141	465	424	277
SNORD28	3	0	1	1
ANXA9	379	1499	1064	666
MIR1306	0	0	0	0
ASPH	1230	1991	2429	1588
LINC01088	0	0	0	0
DBNDD2	2	6	3	2
PDGFB	250	728	1111	620
ZNF738	153	338	323	156
MAPK15	3	26	8	6
LOC100128505	0	0	0	0
CHRNA5	386	463	715	328
STC2	1560	7578	7615	5633
RBMX2	244	565	566	310
LINC00494	4	3	9	8
MIR6868	0	0	0	0
SF3B2	5114	13979	12002	7590
TAS2R31	0	4	1	1
AGPAT4	0	6	3	3
RPL14	7422	17807	16122	9377
SLC22A1	0	0	1	0
POFUT2	99	241	234	148
LOC731157	0	11	5	4
GUF1	371	649	564	291
RAB9BP1	0	0	0	0
RAMP3	5	12	22	14
OR13G1	0	0	0	0
EPC2	337	670	570	355
LINC00996	0	0	0	0
LOC102723617	0	0	0	0
NBAS	699	2284	1558	981
AASS	32	51	30	13
ADARB2	0	0	0	0
HS6ST2-AS1	0	0	0	0
PNLIP	0	0	0	0
RPS6KA5	150	357	159	100
C22orf46	531	1252	1244	848
FIBCD1	142	571	459	375
MIR7114	0	0	0	0
RIMBP3	7	46	48	38
ZCCHC11	96	179	189	156
SLBP	622	994	1173	588
MIR4684	0	0	0	0
USP2-AS1	9	21	32	8
ZFP36	174	615	621	365
SSX5	0	0	0	0
FLJ46284	0	1	0	0
THY1	0	0	0	0
LTF	0	0	0	0
ACTBL2	0	0	0	0
ADAM28	0	0	0	0
LOC388282	0	1	1	1
SLC6A18	0	0	0	0
LOC728752	14	64	40	33
NUP205	1438	2473	2732	1522
COL6A5	0	0	0	0
MIR564	0	0	0	0
HULC	0	4	0	0
PMS2P4	23	73	74	55
ARID5A	43	213	278	162
SSX3	0	0	0	0
SLC26A7	0	0	2	0
SNORA10	7	31	7	14
MED31	144	93	210	77
FASTKD5	223	266	475	246
RPS5	6786	23718	20910	12069
MIR4770	0	0	0	0
ACVRL1	0	3	0	0
SPRTN	134	298	323	171
MPZ	0	1	8	1
LOC101928063	36	27	15	15
KLHDC2	439	1150	666	302
KLHL4	12	17	49	25
CCDC154	2	4	0	5
ZNF791	237	514	395	257
CES1	0	0	0	0
MYO1D	989	3135	2878	1925
PLCE1-AS1	1	0	0	0
TRPM2	0	1	0	1
RCAN3AS	2	8	5	5
C11orf48	70	32	22	16
MST1L	0	0	2	1
SNORA6	2	3	9	8
GNG11	1	4	7	5
ASAP1	490	991	1169	789
RLTPR	27	65	107	53
C2orf80	0	0	0	0
RETSAT	340	1680	1173	895
EIF3J	1517	2446	2467	1313
SLC25A11	637	1955	1549	872
ACADM	423	886	705	413
EBI3	0	0	0	0
HINT1	1650	3438	4688	2403
LOC101060004	0	0	2	0
ALKBH8	65	113	129	72
LOC100505683	3	33	16	6
LINC00568	0	0	0	0
HIST1H2BB	0	0	0	0
LOC730183	21	47	31	21
LOC101927730	2	0	0	0
TRAM2	360	942	994	618
MAPK11	45	306	256	119
SPAG9	1321	2695	2684	1737
POLR2D	591	1221	1281	744
SEC24B-AS1	6	17	2	8
NOTO	0	0	0	0
PSMD7	2596	4296	4909	2517
AMY2A	0	0	0	0
LOC101928068	3	3	9	1
SNAPC5	146	215	191	99
BAG3	969	2479	4141	2353
KCNIP2	1	6	5	8
MIR6754	0	0	0	0
LOC102723510	1	2	0	0
C1orf123	183	588	500	234
MIR548A2	0	0	0	0
DDX55	268	503	605	350
LIMD1	293	664	807	545
AGR2	3082	6304	5364	2807
LOC101927460	0	0	0	0
LARP4B	415	842	1270	767
EMC3-AS1	159	329	381	213
DYNLRB1	587	1607	1505	777
MIR4510	0	0	0	0
LOC643387	1	1	2	0
ZBTB32	2	1	0	0
RXFP2	0	0	0	0
MAPKAPK5	283	633	699	403
TP53I11	627	2607	1789	873
FAM201A	17	93	45	40
CAMP	7	88	12	16
LRRC73	48	252	206	104
