Gene_ID	MCF7-2-DMSO-1	MCF7-2-DMSO-2	MCF7-2-DMSO-3	MCF7-2-LY-1	MCF7-2-LY-2	MCF7-2-LY-3	MDA-MB453-DMSO-1	MDA-MB453-DMSO-2	MDA-MB453-DMSO-3	MDA-MB453-LY-1	MDA-MB453-LY-2	MDA-MB453-LY-3	MDA-MB-468-DMSO-1	MDA-MB468-DMSO-2	MDA-MB468-DMSO-3	MDA-MB468-LY-1	MDA-MB468-LY-2	MDA-MB468-LY-3
STK25	1423	2037	2143	1713	1451	2107	687	737	1058	1482	1264	1617	1449	1791	2424	1728	2108	2746
SLC30A3	173	275	302	352	251	384	2	2	9	1	0	0	3	3	4	2	0	0
UBXN4	2887	4052	4830	3058	2383	3495	1792	1679	2300	3398	2491	3107	1884	2162	2924	1626	1962	2447
UGT2B15	405	809	580	377	455	440	0	3	5	123	95	66	0	1	0	0	1	0
TENM4	102	173	188	92	69	130	1	2	1	16	5	14	0	1	0	0	0	1
AIF1L	3759	5243	6152	3279	2355	3760	457	478	658	180	136	96	2796	3332	4297	1869	2794	3333
AC010877.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LY6G5C	139	152	141	87	77	96	38	39	40	111	94	94	9	9	17	14	5	22
OSBPL5	344	436	649	597	454	861	2500	2672	3423	4124	3432	3785	423	536	719	437	532	754
PHB	6198	8111	9899	6192	5251	7255	7296	6975	9215	8992	7266	9195	3933	4193	5662	4477	5127	5390
RAB1A	5783	6900	8946	6832	5182	7379	3320	3005	3959	5061	3717	4300	3408	3720	5133	3136	3695	4157
OR52N2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LCE2D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GALR2	12	20	29	10	9	9	34	43	31	17	17	18	5	9	14	19	14	13
AC140481.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM259	1392	1842	2683	1616	1373	2357	1907	1959	2601	3751	3154	3884	1198	1419	2119	1375	1714	2522
OR2M5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS10-NUDT3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPRR4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
UBE2C	1909	2154	3035	732	541	1171	1620	1607	1856	99	95	52	1765	1790	2698	1700	1938	2372
INS-IGF2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP5J	1284	1693	1809	1255	1164	1484	1520	1301	1900	2249	1678	2012	1798	2165	2727	1688	2135	2321
WBP11	2167	3092	3812	1922	1463	2323	2213	2219	2715	2886	2390	2713	2608	2664	3902	2418	2788	3123
SRP68	2819	4152	5204	2905	2176	3384	3814	3332	5019	5226	4102	5701	4159	4102	5785	3935	3982	4685
ACAA1	1722	2425	2951	3398	2796	3716	806	787	1093	3415	2686	3068	460	550	910	456	691	833
HECTD4	977	1384	2476	1558	1129	2186	826	776	730	2329	1910	2224	577	799	1220	502	622	1498
GTF3A	2939	3918	4049	2174	1859	2375	4391	4033	6073	4116	3297	4127	1738	2065	2366	1538	1992	1808
BABAM1	1283	1887	2033	1289	1024	1451	1054	1041	1255	1567	1301	1649	2073	2464	3240	2350	2959	3189
OR14I1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LEPREL2	82	124	149	89	67	115	379	408	583	1039	810	1076	1	0	0	0	0	1
ZWINT	2198	2721	3663	1158	713	1605	3065	3115	3729	1203	936	621	1465	1651	2469	1424	1654	2234
TFRC	5762	5756	12362	12579	7427	13641	14701	14749	21096	27101	20905	18982	12184	17732	28166	13994	18587	28619
RP11-248J23.6	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	1	0
EZR	4656	6004	9023	7196	5227	8262	9383	9625	10316	23456	18101	17867	10612	9682	15993	10995	9447	12839
MIOS	605	1055	1200	859	622	978	586	542	581	1098	782	804	859	869	1209	892	898	1054
RBM8A	5200	7316	9396	5002	3652	5945	1722	1687	2058	2132	1705	1875	2572	2582	3919	2248	2635	3297
POFUT2	220	251	574	418	309	482	232	272	278	394	321	245	311	404	576	294	324	565
ELAC1	6	9	9	7	3	12	40	25	37	49	43	39	0	0	0	0	0	0
TBC1D1	1657	2357	2620	1360	999	1636	62	53	92	49	27	14	3010	3399	4059	1920	2739	2462
RALYL	5	2	0	2	1	1	2	4	1	11	11	11	0	0	0	0	0	0
SLC27A6	60	76	89	32	32	40	3	4	1	17	10	9	0	0	0	0	0	0
TMEM106C	4846	5890	7259	4269	2997	4606	4189	4021	4854	3427	2736	3327	1705	2189	2847	1880	2494	2896
RHOA	7443	10577	10701	8672	7065	10021	12682	11289	14980	24740	19089	25666	8818	10039	12636	9068	10703	10641
SMPD3	55	107	98	33	23	19	23	20	37	27	31	32	12	9	21	4	1	8
C16orf74	349	428	542	797	644	1019	62	46	53	104	92	47	295	316	439	344	405	528
RP11-762I7.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP41	2	5	4	4	6	6	15	15	8	36	32	11	0	0	0	0	0	0
CLASP2	560	717	1283	968	620	1145	368	345	455	881	762	692	664	793	1145	613	642	1108
FNDC5	30	61	46	33	26	33	0	0	0	0	0	0	27	35	36	7	12	19
GABBR2	28	31	86	293	167	326	10	18	5	34	23	3	73	168	263	22	114	135
NLRP3	0	0	1	4	1	4	0	2	0	0	0	0	0	0	0	3	1	1
SERHL2	1	4	7	6	8	11	2	3	1	64	49	22	1	2	6	0	4	2
MRPS30	2099	3643	3902	1846	1729	2254	563	580	669	904	705	847	1049	1199	1471	1269	1285	1405
HS6ST3	70	122	186	281	211	406	74	84	90	237	193	209	0	1	0	1	0	0
KRTAP25-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIAA1377	209	371	361	125	100	148	40	38	33	28	18	25	0	0	0	0	1	2
SCGB1D1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTSL4-AS1	2	4	3	2	1	4	0	0	1	0	0	2	0	1	1	2	0	0
PHOSPHO1	12	13	11	4	2	2	10	8	5	1	1	0	0	0	0	0	0	1
TGOLN2	3550	5054	7657	5811	4679	7142	1307	1458	1655	4047	3144	3616	2914	3106	5498	2830	2996	6118
TRPM4	1373	1789	2336	1735	1386	2293	2617	2493	3491	6631	5457	6341	817	675	1069	763	883	929
INTS4	770	1020	1198	661	428	649	732	680	799	582	470	533	769	931	1148	529	782	787
PHF12	726	916	1464	1001	772	1284	961	988	1147	1559	1398	1586	499	580	938	333	469	856
KRTAP13-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TXNDC15	698	1003	1242	836	681	978	646	614	876	825	647	707	483	621	831	441	593	661
SLC39A14	641	865	1390	1078	932	1347	316	301	476	350	259	317	1397	1662	2334	1829	1922	3220
HYAL2	351	366	681	606	395	699	431	392	613	587	534	597	412	522	816	392	475	689
TPSG1	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
AEBP1	66	113	115	110	76	111	0	0	0	0	1	0	0	0	0	0	0	1
SPDYE1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
HUS1B	2	2	8	1	1	5	0	0	3	0	0	1	7	7	7	9	10	11
VWA1	1219	1455	2169	1266	954	1561	1043	1166	1257	1177	1019	809	1308	1555	2090	678	962	1093
IRF4	0	0	1	0	0	0	1	1	0	1	1	1	0	0	0	0	0	2
ZNF341	104	206	225	186	154	207	137	132	144	188	137	143	129	170	250	134	165	204
MST1R	75	93	96	81	50	131	2053	2129	2790	3954	3269	3882	255	266	408	412	357	589
DMRTA2	0	0	0	0	0	0	0	0	0	0	0	0	37	41	57	22	30	24
PRRT1	80	128	122	104	91	129	59	44	52	54	54	57	16	37	37	21	33	35
C1orf216	594	805	1108	859	707	936	693	729	732	1417	1134	1111	368	529	616	328	419	575
MARK1	105	149	251	110	72	134	12	18	4	3	3	1	18	33	39	26	25	59
USP24	1648	1991	3870	1928	1225	2500	1781	1790	1976	2258	1892	1753	5267	5605	8889	3909	4876	7182
DIRC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTRT3	39	45	54	41	41	65	28	26	44	39	34	30	48	62	66	47	51	53
DPPA4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC008914.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTL	881	1249	1974	1710	1361	2123	784	859	1055	1321	991	1272	1655	1885	2942	1753	1941	3243
DAK	2937	4247	4732	2970	2534	3572	1465	1434	1862	2300	1828	2413	627	833	1159	458	741	887
LMOD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-552I14.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMCR8	772	868	1488	852	698	1141	661	598	669	1143	988	924	203	244	397	237	275	574
CHCHD5	910	1473	1461	944	727	1090	324	364	426	355	306	309	239	248	352	189	308	267
ST7-OT4	2	4	1	3	0	2	2	0	1	0	0	1	4	1	1	5	3	5
UGT1A3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMX3	4	11	8	3	6	10	0	0	0	0	0	0	0	0	1	0	0	0
KCNH7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FMO2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	1	5
SSR4	5207	6984	6482	6759	6309	7342	4922	4484	6175	9056	7592	8493	2625	3090	3765	2305	3317	3110
CEP55	1698	1763	2950	600	425	894	1226	1097	1272	26	18	8	1921	2024	2528	1983	2038	2158
CYP4F2	0	0	0	4	2	2	0	0	0	5	7	4	0	0	0	1	0	0
GNA11	1446	1836	3147	1638	1226	2268	1964	2058	2464	3084	2527	2936	985	1155	1929	885	1058	1657
MAP3K12	126	193	233	186	158	239	78	91	68	74	51	74	7	12	20	6	14	26
CORO2A	335	488	591	230	167	240	273	305	329	728	604	489	415	417	652	302	328	432
CDK8	374	632	705	499	442	662	314	302	292	388	319	357	743	783	1113	738	770	1042
EIF4A3	3537	4593	6544	3316	2222	3904	3513	3394	4841	3846	2901	4110	4705	5139	7593	4484	5163	6090
AC012067.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DEAF1	646	1052	1153	784	633	1033	739	776	1050	2172	1922	2314	179	206	362	170	177	275
WBP5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1
GPR157	462	474	836	616	427	685	583	564	525	1444	1229	944	178	196	293	190	232	412
GPR135	230	274	414	87	60	115	9	11	11	23	15	19	20	16	47	18	21	67
TCF19	1419	2273	2440	517	381	787	1737	1673	2006	458	427	324	1042	1232	1654	923	1280	1423
SLC6A13	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
COX6B2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
WNK2	154	255	348	327	263	396	190	158	204	195	180	192	1582	2008	2709	780	1452	1608
CYP7A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C9orf142	1080	1538	1704	915	745	1261	1951	1905	2091	2082	1767	1847	490	551	702	379	588	621
IQCE	1111	1059	2169	2053	1360	2551	978	915	1198	1725	1376	1280	1051	1486	1894	785	1240	1672
ADAMTSL5	68	85	96	185	111	226	29	25	32	38	33	27	14	12	24	8	11	15
KIN	201	354	405	283	225	327	207	150	192	206	145	167	255	291	429	281	308	374
FNDC8	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0
GGNBP1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TGDS	83	155	209	98	65	132	53	66	77	74	45	54	231	265	458	277	259	387
RNF123	592	764	802	769	683	835	958	872	1282	2038	1775	2422	578	676	933	562	793	928
ETNPPL	24	39	41	8	7	8	1	0	0	0	0	0	5	8	13	4	20	27
TBC1D14	943	1494	2177	1615	1180	1923	775	784	1001	1973	1472	2248	653	837	1330	648	772	1390
FAM57B	18	41	28	10	11	15	16	9	19	16	14	15	4	4	0	1	1	2
ANXA2	4933	7408	8428	15110	9918	15062	9812	10044	13834	23345	18162	19152	14217	11289	18316	17985	16519	21389
TEX2	2858	3341	5359	3917	3020	4595	4200	4036	5552	9284	7367	9724	1359	1540	2038	1337	1596	1835
GYG2	309	465	415	441	363	433	0	0	0	1	1	1	47	88	63	6	46	17
RP11-536G4.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GABPB1	850	1100	1775	786	526	884	435	389	507	343	281	296	393	395	582	362	353	473
ALDH4A1	2735	4012	5034	3875	2852	4395	10144	10375	13477	35870	30082	33860	1254	1555	1977	1111	1733	2031
SLX1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NXF2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GALR3	0	0	2	5	1	4	0	2	2	3	2	0	1	1	2	2	0	2
AC121757.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIAA1467	1289	2187	2698	1248	1169	1436	384	445	468	589	443	332	53	73	154	36	56	72
BLOC1S4	404	593	805	549	418	693	182	202	213	292	204	268	114	133	233	113	119	185
RANBP1	3209	5130	5626	2165	1673	2760	3504	3237	4177	2380	1857	2457	3076	3304	4799	3315	3494	4269
SERPINA1	124	185	135	526	551	521	4	4	2	3	3	1	3	0	0	1	2	1
WDR55	492	862	1206	1049	789	1276	584	585	684	1089	914	906	525	617	1165	482	607	1366
ABCB6	2260	3217	3408	1888	1563	2604	911	857	942	1600	1285	1229	888	819	1127	805	974	1053
ANK1	187	239	348	49	46	95	0	0	1	0	0	1	38	20	28	72	58	101
PLD2	207	309	437	353	308	458	172	141	225	289	222	246	399	464	691	268	421	556
LUZP1	1700	1835	2736	2995	2137	3735	856	847	903	1179	893	924	3680	4103	5312	3575	3867	4532
CENPL	615	774	1073	369	316	534	272	229	304	173	129	121	246	267	431	338	324	437
TFPI	110	126	260	405	316	435	0	1	0	1	0	0	213	215	354	120	176	243
KRTAP9-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZWILCH	1041	1092	1590	711	414	829	1189	1056	1467	932	680	628	1000	983	1280	1107	1027	1275
KLHL11	68	94	203	120	68	163	44	46	33	72	66	45	49	78	146	28	53	126
PDE9A	39	57	67	198	111	192	0	0	0	0	0	0	248	358	425	114	199	237
NFKBID	15	17	82	50	20	61	10	14	14	6	2	5	24	25	40	19	24	72
LAMTOR4	976	1452	1680	955	790	1091	376	344	506	660	553	598	614	785	1134	591	888	1109
KRTCAP3	287	417	446	128	123	156	401	418	483	444	362	406	4	3	6	2	9	22
HMSD	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
ARL6	26	27	47	27	26	40	35	31	45	47	32	26	75	74	106	56	65	78
PLBD2	1084	1323	1706	2119	1802	2710	400	383	483	1111	968	1048	303	309	572	275	408	630
LZTR1	433	716	624	592	548	700	788	787	1027	2063	1697	2303	299	353	552	366	490	811
ZNF582	0	0	0	0	0	0	21	25	18	38	26	41	61	75	101	116	79	105
ZNF311	14	24	50	34	18	24	79	75	74	50	43	26	12	13	13	10	3	19
IL31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP2R5E	2623	3293	4633	2879	2131	3199	1880	1711	2188	2477	2081	2215	1731	1857	2401	1634	1784	2041
PPP1R1C	1	4	7	13	8	8	0	1	0	0	0	0	0	0	2	2	1	1
RBM11	5	5	7	15	11	7	24	19	35	31	24	28	14	18	16	14	9	13
OR2T2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL10RA	5	5	9	9	11	8	1	2	0	0	0	0	1	0	1	0	0	1
LSG1	894	1075	1748	978	682	1072	1654	1552	1972	2042	1569	2067	1014	1101	1650	1059	1238	1584
NEURL2	10	24	15	12	12	21	9	4	11	15	10	28	7	7	16	7	13	22
SPACA4	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RGS7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF502	0	0	0	0	0	0	0	0	0	0	0	0	33	27	35	22	41	53
SPATA24	35	49	54	31	25	25	8	8	4	2	11	4	41	58	63	49	57	68
RAI1	1427	2014	3942	2698	1821	3994	1385	1485	1490	3167	2636	2899	909	1190	2063	717	942	1884
ANO4	5	3	3	3	11	5	0	0	0	1	0	0	1	0	0	0	1	0
DCAF8	1559	2148	2979	2175	1747	2592	1167	1073	1328	2946	2393	3026	1049	1125	1766	905	1150	1491
YY2	38	80	78	50	54	52	16	14	13	21	16	32	33	28	52	31	31	107
LOXL4	0	0	0	3	1	6	0	0	0	0	0	0	1	0	1	0	4	1
GJC1	0	0	1	0	0	4	1	0	0	0	0	0	173	197	285	193	137	391
ZNF107	457	633	945	626	429	758	250	280	287	585	476	410	105	96	190	88	113	184
C5orf15	535	772	831	873	618	894	638	656	759	1468	1058	1297	813	842	1249	650	674	1131
ADCY4	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SYT12	1552	1755	2917	3296	2802	3747	2619	2482	4302	6769	5509	8242	1533	3850	5526	477	2019	2106
HHLA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBE2Q1	2079	2928	3810	2500	1933	3152	1747	1819	2151	3123	2503	3030	1070	1208	1779	1096	1176	1653
USP4	980	1355	1567	962	679	1085	1367	1293	1543	1733	1420	1789	1376	1456	1854	1063	1301	1343
AMER1	274	246	452	418	206	437	187	172	309	196	200	223	505	725	1028	446	563	811
ZMYND10	47	82	56	30	28	45	49	45	49	25	21	35	10	13	19	10	12	14
ASNA1	1896	2723	3168	2376	1970	2481	3669	3878	4852	5306	4287	5938	1926	2036	3163	2403	2564	3154
ATAD2	5325	7659	11593	3639	2378	5505	5187	4836	5145	1328	963	705	2871	3405	4767	2891	3103	4478
HCN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C8A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOGA1	0	2	1	2	3	6	3	4	1	1	1	2	0	3	4	1	2	4
ATP8A2	277	379	474	1455	1383	1683	41	58	58	77	51	44	1	7	6	7	2	4
RP11-20I23.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GALR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZPBP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBC1D3C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMCC2	40	43	99	47	30	55	29	27	12	0	0	0	38	45	86	12	23	40
C5orf49	18	22	29	21	7	17	1	0	1	0	0	0	0	0	0	0	0	0
UNC50	430	556	779	433	341	484	308	256	361	436	347	457	281	346	476	291	363	408
FAM115A	1017	1344	1867	1404	1109	1753	505	528	628	795	659	516	422	445	716	341	430	524
TRPC7	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GAA	3066	3790	5018	6051	5071	7016	2786	2954	4566	8335	6776	7367	1735	2142	3109	1478	2588	3282
ATG3	1233	1500	1833	957	810	1111	1053	982	1263	1278	1017	1376	1641	1641	2307	1558	1947	1874
TRA2A	736	1060	1802	1083	791	1499	408	422	483	759	624	615	474	572	1054	498	480	1282
CD99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LRRC37A2	6	9	11	6	1	7	2	5	8	18	10	17	6	6	11	7	6	17
UBE2K	3153	3661	4630	2675	1851	2921	2580	2171	2883	2982	2130	2637	2757	3254	3937	2589	3086	3229
C8orf48	12	18	25	5	5	8	0	0	0	0	0	0	0	0	0	0	0	0
FAM86A	485	636	824	344	214	376	516	475	691	504	401	500	287	318	433	291	349	343
SYNGR4	6	11	6	4	1	5	20	13	21	11	15	6	1	0	6	0	1	2
SLCO1B3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRDM15	275	367	663	489	318	631	208	232	221	367	275	268	196	180	414	142	183	489
HTRA4	13	7	12	19	16	13	1	3	2	0	1	0	0	0	0	0	0	0
C6orf123	0	5	4	0	0	2	0	0	0	0	0	0	0	0	1	0	2	1
MAGEB6	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COL18A1	2593	3880	4439	9621	7841	11949	68	58	106	79	56	61	603	1148	1839	371	951	1681
LPP	368	589	920	599	356	749	890	930	923	2481	1883	1997	806	939	1608	568	725	1566
SPATA12	0	0	0	0	2	2	0	0	1	0	1	0	5	11	9	6	8	11
ATP6V1F	1274	1817	2022	1724	1530	1945	1153	1176	1403	2124	1710	2301	1167	1255	2017	1157	1383	1697
TMEM126B	507	797	793	567	525	564	438	408	534	651	520	638	899	932	1246	1015	1084	1190
TMEM89	1	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1
ACADSB	1102	1591	2364	1178	788	1217	456	436	597	1216	880	938	78	82	136	29	69	90
FAM174B	815	1374	1527	918	858	1192	840	859	1003	2511	2002	2242	472	458	713	331	372	451
CCDC14	403	567	776	499	354	575	234	190	237	184	143	161	339	480	491	297	381	612
PCSK7	516	644	1075	1157	817	1368	414	456	641	1346	1196	1362	583	684	1085	470	800	1134
PDIA5	423	616	714	757	720	920	652	572	854	1406	1099	1187	456	462	623	492	593	741
SIN3B	490	699	1138	718	563	955	552	536	610	457	391	281	960	956	1833	829	974	1820
COG4	3289	4557	4712	2727	2268	2983	1291	1320	1699	1584	1265	1725	1269	1350	1904	1018	1513	1435
CCDC25	963	1324	1502	1158	952	1213	493	436	591	716	496	658	857	946	1364	839	1118	1102
ADM5	18	32	68	35	21	34	35	31	35	2	5	5	14	18	29	27	23	37
SH2D1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLIP2	160	260	206	224	218	260	46	56	52	26	17	22	662	792	1195	580	913	980
ASAH2C	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
PPIAL4G	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
PDPR	1477	2397	2940	2250	1662	2673	623	624	795	1076	900	1161	897	1030	1460	901	997	1437
ADAM18	5	4	1	12	4	9	0	0	0	0	0	0	0	0	1	0	0	0
RP11-77K12.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBL1X	5078	7833	8554	4985	4890	5742	944	892	1573	384	291	560	618	798	1073	503	722	728
FAM71C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF618	906	1128	1861	934	721	1157	0	1	0	0	1	0	0	1	2	0	3	2
SIK2	537	858	1205	867	673	1073	839	822	809	1438	1214	1006	1398	1573	2307	1312	1538	2070
ZMAT1	32	46	66	45	30	65	27	35	34	44	33	35	0	0	0	0	0	0
METTL23	332	425	499	314	303	370	212	189	267	275	202	237	288	331	524	312	403	530
GCNT7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PHTF1	1809	2390	3247	1788	1238	2085	105	102	122	118	77	84	963	932	1141	1172	1058	1048
CPNE5	0	0	0	2	2	0	0	0	0	0	0	0	1	1	1	4	4	2
EIF5AL1	92	126	122	65	48	73	26	20	35	18	20	25	30	50	42	39	56	49
HSD17B12	695	831	1039	814	547	873	2309	1986	3105	4109	3023	3520	1186	1299	1462	1192	1342	1390
TTC39C	916	1191	1545	1298	993	1348	152	152	242	193	128	137	259	275	421	275	238	395
RPL37A	31369	48679	40605	32187	30360	36264	13626	12257	18926	19264	15552	19020	16986	19642	23015	14419	19225	15913
DUSP22	215	307	373	412	305	465	293	289	355	462	378	394	463	629	831	339	555	610
IL1R2	0	2	1	0	1	1	33	24	28	14	3	14	0	0	2	10	1	11
MAGEB5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GBP1	1	1	6	12	5	7	0	0	0	1	0	0	300	362	529	330	351	472
MKI67IP	1048	1287	1913	1321	1019	1365	487	492	608	810	597	743	1089	1323	1443	1528	1590	1517
LOXL2	57	87	81	96	78	117	0	1	2	1	0	0	814	803	1674	923	1542	2640
PTAFR	13	20	27	63	40	78	1	1	6	1	5	0	124	139	216	68	82	119
GIGYF2	1666	2624	3750	2410	1945	3127	1712	1699	1907	3419	2602	3377	1898	2025	3187	1534	1916	2593
DRC1	0	0	0	1	3	0	0	0	0	0	0	0	1	0	0	0	0	1
TUBA1C	9438	10855	16044	7007	4525	9128	5561	5717	6852	3307	2685	2962	5961	5661	9571	5921	6109	8445
XPO7	1813	2235	3128	1949	1501	2341	1571	1571	2157	1890	1363	1889	2674	3060	3988	2289	2789	3314
HECTD1	4232	5937	10137	6778	4847	8470	3405	3363	3786	7382	5767	6072	2636	2807	4478	2188	2486	3908
NPM2	0	0	0	0	0	0	16	23	25	1	4	2	60	38	62	32	36	33
C19orf47	427	613	877	391	284	567	706	664	897	710	599	710	459	606	817	477	562	751
BCL11B	37	89	192	68	44	82	0	1	0	0	0	0	167	169	392	86	166	477
PCCA	297	412	404	286	197	296	322	350	494	766	612	783	465	626	785	310	509	572
RASGRP4	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
OR2K2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPIPA5	1	4	4	4	5	5	2	4	4	6	3	6	0	3	2	0	1	1
AKR1C4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
MEF2D	522	853	1046	733	599	886	733	711	791	2664	2132	2606	579	727	1153	505	577	924
PAPSS2	206	217	462	2238	1396	1891	1	2	1	21	27	6	823	710	928	599	807	1020
FCRL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BTRC	575	792	1155	670	545	845	329	306	342	556	448	477	354	401	592	298	313	467
MRPL11	1693	2420	2398	949	735	1008	1423	1418	1742	719	566	808	1504	1814	2154	1669	2125	1979
RGPD5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SP9	10	5	17	14	12	17	0	0	0	0	0	0	8	5	8	14	4	20
ADAMTS4	5	4	11	4	2	3	117	138	83	166	148	82	7	7	26	11	18	61
N6AMT1	70	105	119	136	121	139	229	226	175	364	301	270	203	187	314	197	207	262
FAM105A	148	218	250	74	51	93	43	57	104	17	18	17	7	9	16	4	8	11
ARHGAP19	415	567	856	358	222	462	410	398	462	183	168	154	240	227	451	178	244	325
CCDC77	114	208	220	113	110	182	146	161	98	112	73	54	189	228	317	142	162	279
OR4C12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RASL11A	12	11	18	11	10	15	120	126	134	63	52	12	44	87	100	24	37	42
SMIM18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGF2	21	27	33	40	35	54	0	0	0	1	1	0	1	0	0	0	1	0
DMP1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAF2	911	1120	1796	933	614	1211	777	665	914	786	587	640	979	1082	1486	843	1034	1423
RNF122	16	34	47	28	33	28	31	32	27	17	21	5	23	28	59	17	30	32
FAM9A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ST8SIA3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TPPP	44	50	83	95	62	100	52	55	77	176	140	248	1	2	2	3	3	10
AQP9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPAST	457	617	1091	724	462	833	454	384	508	469	369	372	927	1162	1501	625	813	1122
PKD1L1	8	11	5	0	0	0	4	3	0	1	0	0	4	4	2	5	5	1
